Feature,Importance,Std
country_group,0.144925356978235,0.0018020156930951526
market_segment,0.06642625893961226,0.000981549359550887
customer_type,0.0570911429380309,0.0006979331090515715
total_of_special_requests,0.052880071232553096,0.0013587758341458817
lead_time,0.051438414187473504,0.0008627144871948523
required_car_parking_spaces,0.020054125052767845,0.0013993792579602396
previous_cancellations,0.014742592947098565,0.0005963005531157471
adr,0.014403635871026377,0.0004467382643033184
arrival_date_month,0.009905674686985822,0.0003049321893167646
hotel,0.009761487585323558,0.0005668459917102998
meal,0.006935705688133886,0.00019646490045927855
total_nights,0.005750176146129072,0.0004032848932487506
reserved_room_type,0.0034343027005016235,7.784063274652973e-05
total_guests,0.0030787188468133,0.00012013937156736116
has_agent,0.002838584527841381,0.0001723481113428124
previous_bookings_not_canceled,0.001126646950853183,0.00015935925603909827
has_company,0.000771021491587165,0.0001460005007312916
has_waiting_list,0.0007602836863246365,6.090776327995987e-05
has_children,0.00027608748183745037,4.4000062147788074e-05
is_repeated_guest,0.0002264948218411611,8.580784042714301e-05
